tahun,perpustakaan,jumlah
2015,Cikini,72758
2015,Kuningan,13529
2015,PDS HB Jassin,0
2015,Perpustakaan Digital iJakarta,0
2015,Sudin Pusip Jakpus (Stationary),15108
2015,Sudin Pusip Jakpus (Pusling),24717
2015,Sudin Pusip Jakpus (RPTRA),0
2015,Sudin Pusip Jaktim (Stationary),13211
2015,Sudin Pusip Jaktim (Pusling),47509
2015,Sudin Pusip Jaktim (RPTRA),0
2015,Sudin Pusip Jakbar (Stationary),28384
2015,Sudin Pusip Jakbar (Pusling),0
2015,Sudin Pusip Jakbar (RPTRA),0
2015,Sudin Pusip Jaksel (Stationary),18956
2015,Sudin Pusip Jaksel (Pusling),18690
2015,Sudin Pusip Jaksel (RPTRA),0
2015,Sudin Pusip Jakut (Stationary),18548
2015,Sudin Pusip Jakut (Pusling),20609
2015,Sudin Pusip Jakut (RPTRA),0
2015,Sudin Pusip Pulau 1000 (Stationary),8579
2015,Sudin Pusip Pulau 1000 (RPTRA),0
2015,Permata 1,7549
2015,Permata 2,3819
2016,Cikini,103341
2016,Kuningan,68654
2016,PDS HB Jassin,0
2016,Perpustakaan Digital iJakarta,0
2016,Sudin Pusip Jakpus (Stationary),91807
2016,Sudin Pusip Jakpus (Pusling),64336
2016,Sudin Pusip Jakpus (RPTRA),43152
2016,Sudin Pusip Jaktim (Stationary),17755
2016,Sudin Pusip Jaktim (Pusling),46829
2016,Sudin Pusip Jaktim (RPTRA),101456
2016,Sudin Pusip Jakbar (Stationary),26211
2016,Sudin Pusip Jakbar (Pusling),53413
2016,Sudin Pusip Jakbar (RPTRA),142919
2016,Sudin Pusip Jaksel (Stationary),25662
2016,Sudin Pusip Jaksel (Pusling),25040
2016,Sudin Pusip Jaksel (RPTRA),42385
2016,Sudin Pusip Jakut (Stationary),43966
2016,Sudin Pusip Jakut (Pusling),40712
2016,Sudin Pusip Jakut (RPTRA),21298
2016,Sudin Pusip Pulau 1000 (Stationary),48376
2016,Sudin Pusip Pulau 1000 (RPTRA),6200
2016,Permata 1,11161
2016,Permata 2,10779
2017,Cikini,83619
2017,Kuningan,53821
2017,PDS HB Jassin,0
2017,Perpustakaan Digital iJakarta,0
2017,Sudin Pusip Jakpus (Stationary),20411
2017,Sudin Pusip Jakpus (Pusling),105747
2017,Sudin Pusip Jakpus (RPTRA),0
2017,Sudin Pusip Jaktim (Stationary),2877
2017,Sudin Pusip Jaktim (Pusling),46985
2017,Sudin Pusip Jaktim (RPTRA),0
2017,Sudin Pusip Jakbar (Stationary),32509
2017,Sudin Pusip Jakbar (Pusling),66570
2017,Sudin Pusip Jakbar (RPTRA),0
2017,Sudin Pusip Jaksel (Stationary),28923
2017,Sudin Pusip Jaksel (Pusling),57755
2017,Sudin Pusip Jaksel (RPTRA),0
2017,Sudin Pusip Jakut (Stationary),22027
2017,Sudin Pusip Jakut (Pusling),77320
2017,Sudin Pusip Jakut (RPTRA),0
2017,Sudin Pusip Pulau 1000 (Stationary),58916
2017,Sudin Pusip Pulau 1000 (RPTRA),0
2017,Permata 1,18139
2017,Permata 2,18223
2018,Cikini,79114
2018,Kuningan,5447
2018,PDS HB Jassin,2749
2018,Perpustakaan Digital iJakarta,20736
2018,Sudin Pusip Jakpus (Stationary),23719
2018,Sudin Pusip Jakpus (Pusling),154044
2018,Sudin Pusip Jakpus (RPTRA),219972
2018,Sudin Pusip Jaktim (Stationary),22891
2018,Sudin Pusip Jaktim (Pusling),135195
2018,Sudin Pusip Jaktim (RPTRA),39194
2018,Sudin Pusip Jakbar (Stationary),47328
2018,Sudin Pusip Jakbar (Pusling),237715
2018,Sudin Pusip Jakbar (RPTRA),511065
2018,Sudin Pusip Jaksel (Stationary),28955
2018,Sudin Pusip Jaksel (Pusling),683
2018,Sudin Pusip Jaksel (RPTRA),475141
2018,Sudin Pusip Jakut (Stationary),37791
2018,Sudin Pusip Jakut (Pusling),109919
2018,Sudin Pusip Jakut (RPTRA),691603
2018,Sudin Pusip Pulau 1000 (Stationary),65658
2018,Sudin Pusip Pulau 1000 (RPTRA),136589
2018,Permata 1,9778
2018,Permata 2,10538
2019,Cikini,62895
2019,Kuningan,45230
2019,PDS HB Jassin,5319
2019,Perpustakaan Digital iJakarta,21999
2019,Sudin Pusip Jakpus (Stationary),36767
2019,Sudin Pusip Jakpus (Pusling),196689
2019,Sudin Pusip Jakpus (RPTRA),357184
2019,Sudin Pusip Jaktim (Stationary),29159
2019,Sudin Pusip Jaktim (Pusling),279240
2019,Sudin Pusip Jaktim (RPTRA),363273
2019,Sudin Pusip Jakbar (Stationary),45374
2019,Sudin Pusip Jakbar (Pusling),234853
2019,Sudin Pusip Jakbar (RPTRA),461598
2019,Sudin Pusip Jaksel (Stationary),34063
2019,Sudin Pusip Jaksel (Pusling),165535
2019,Sudin Pusip Jaksel (RPTRA),459210
2019,Sudin Pusip Jakut (Stationary),32717
2019,Sudin Pusip Jakut (Pusling),107136
2019,Sudin Pusip Jakut (RPTRA),534462
2019,Sudin Pusip Pulau 1000 (Stationary),51743
2019,Sudin Pusip Pulau 1000 (RPTRA),147097
2019,Permata 1,6623
2019,Permata 2,10524
